N°,Institucion,Departamento,Provincia,Distrito,Representante,Sector
178,Asociacion Iglesia Evangelica Luminares en el Mundo,Lima,Lima,San Miguel,Avalos Siguenza  Benigno Javier,Mujer y Poblaciones Vulnerables/
179,Asociación Iglesias Pentecostales Autonomas,Lima,Lima,San Miguel,Calle Alvarado  Heber,Mujer y Poblaciones Vulnerables/Educación/
180,Asociación Instituto de Vigilancia Especializada en Oftalmologia - Ong'd,Ica,Ica,Ica,Yonz Buendia  Yessabell Sonia,Salud/
181,Asociación Integral para el Desarrollo del País (Asidep),Cajamarca,Cajamarca,Cajamarca,Llamoctanta Espinoza  Segundo Alamiro,Mujer y Desarrollo Social/
182,Asociación Integrando Vidas con Amor,Lima,Lima,Villa Maria Del Triunfo,Pineda Velasque  Marco Antonio,Educacion/Salud/
183,Asociación Integratorias Humanitarias de Desarrollo,Lima,Lima,Pueblo Libre,Meza Carrasco  Favio Gumercindo,Mujer y Poblaciones Vulnerables/Educación/
184,Asociación Internacional Mensajeros de la Paz                                                                           ,Lima,Lima,Chorrillos,Vassallo Doig De Larrea  Alina Del Carmen,Educación/Mujer y Desarrollo Social/Salud/Trabajo y Promoción Social/PCM/
185,Asociación Jesús el Buen Pastor,Lima,Callao,Bellavista,Reyes Pizarro  Juan Jose,Educacion/Mujer Y Desarrollo Social/Salud/
186,Asociación Juan Pablo Magno,Lima,Lima,Lurin,Hirsch  Joseph William,Mujer y Desarrollo Social/
187,Asociación Juntos en Acción para el Desarrollo de Los Pueblos,Lima,Lima,San Juan De Miraflores,Ramirez Quispe  Mario,Educacion/Mujer y Desarrollo Social/
188,Asociación Juvenil Imaginacion Peruana Inca,Piura,Piura,Veintiseis De Octubre,Rodriguez Fiestas  Hector Alexander,Mujer y Poblaciones Vulnerables/
189,Asociación las Manos de Dios                                                                                            ,Lima,Lima,San Miguel,Diaz Arce De Muñoz  Rosa,Educación/
190,Asociacion Las Siervas de Nuestra Señora de Fátima,Lima,Lima,Santiago De Surco,Creamer Maza De Arrieta  Consuelo Moraima,Salud/
191,Asociacion Latinoamericana de Biotecnologia,Lima,Lima,Santiago De Surco,Guio Chunga  Lelys Ivonne,Mujer y Desarrollo Social/Salud/
192,Asociación Liahona por los Niños del Perú,Lima,Lima,San Juan De Lurigancho,Galvez Diaz  Isabel Cristina,Mujer y Poblaciones Vulnerables/
193,Asociación Mejorando Vidas Hemodialisis Perú,Lima,Lima,Surquillo,Daza Anchante  Maria Yolanda,Mujer y Desarrollo Social/Salud/
194,Asociación Milagro del Divino Niño Jesús,Lima,Lima,San Juan de Miraflores,Aguad Vaccari De Musiris  Maria Estrella,Salud/
,,,,,Laca Barrera  Manuel Alberto,
195,Asociacion Ministerial Internacional Visión y Misión Hoy,Lima,Callao,Callao,Guerrero Tello  Nirma Isabel,Mujer y Poblaciones Vulnerables/Educacion/
196,Asociación Ministerio Evangelistico Dios de Pactos,Lima,Callao,Carmen De La Legua Reynoso,Valdera Vidalon  Rosa Elvira,Mujer y Poblaciones Vulnerables/
197,Asociación Ministerio Internacional Evangelistico Libertad,Lima,Lima,Ate,Tenazoa Alva  Jan Paul,Educacion/Justicia/Mujer y Desarrollo Social/Salud/Trabajo y Promocion Social/Vivienda y Construcción/Otros/
198,Asociación Misión Pax Tv,Lima,Lima,Santiago De Surco,Blest Gonzales  Blanca Cecilia,Mujer y Desarrollo Social/
199,Asociación Misionera Anci,Lima,Lima,Villa El Salvador,Anton Cifuentes  Dina Raquel,Trabajo y Promocion Social/
200,Asociación Misionera Bautista de las Américas del Perú (A.M.B.A. Perú),Junín,Tarma,Tarma,Tinoco Lopez  Paul,Mujer y Desarrollo Social/
201,Asociación Misionera Trabajando por un Mundo Liberado del Hambre,Arequipa,Islay,Dean Valdivia,Gutierrez Juarez  Guido Juan,Educacion/Mujer y Desarrollo Social/
202,Asociación Misma Luna,Lima,Lima,Santiago De Surco,Rodriguez Preciado  Edith,Mujer y Poblaciones Vulnerables/Educación/
203,Asociación Multisectorial Cristiana Monte de Jehova,Lima,Lima,Comas,Schambaher Moretti  Carlos Augusto,Desarrollo e Inclusión Social/Educación/Salud/
204,Asociación Niños a la Vida,Lima,Lima,Pachacamac,Torres Mansilla  Jose Rafael,Educación/Mujer y Desarrollo Social/
205,Asociación Niños del Cusco                                                                                              ,Cusco,Cusco,Wanchaq,Yañez Yañez  Luz Marina,Mujer y Desarrollo Social/Salud/
206,Asociación Nuevo Milenio para el Fomento y Desarrollo de la Educación Superior,Lima,Lima,Santiago De Surco,Dubois Doribal  Gladys Elvira,Educación/Mujer y Desarrollo Social/
207,Asociación Nuevos Pasos,La Libertad,Trujillo,Trujillo,Menendez Lapinet  Osvaldo Manuel,Educacióon/Mujer y Desarrollo Social/Salud/Trabajo y Promocion Social/Otros/
208,Asociación O.N.G. Chalacos en Acción,Lima,Callao,Callao,Aguilar Cardenas  Hilario,Educacion/Mujer Y Desarrollo Social/Salud/
209,Asociación Okinawense del Perú,Lima,Lima,Ate,Yara Chinen  Luis Arturo, Mujer Y Poblaciones Vulnerables/
210,Asociación Operación Sonrisa-Perú,Lima,Lima,Miraflores,D´Angelo Bernales  Francisco Humberto,Mujer Y Desarrollo Social/Salud/
211,Asociacion Oportunidades para la Vida,Lima,Lima,El Agustino,Rodriguez Cadillo  Edelvis Iraida,Educacion/Mujer y Desarrollo Social/Salud/Pcm/
212,Asociación Pachamama Manta Wua Wuan Cunapacc Perupi                                                                     ,Ica,Nazca,Vista Alegre,Mügge-Bruckert  Monika Charlotte,Mujer y Desarrollo Social/
,,,,,Arias Weiss  Rodolfo Mercedes,
213,Asociacion para el Desarrollo de Ancash y Zonas Aledañas,Ancash,Carhuaz,Carhuaz,Garcilazo Meza  Ambrocio Teodoro,Educacion/Mujer y Desarrollo Social/Salud/
214,Asociación para el Desarrollo de la Familia Zoe,Lima,Callao,Callao,Ortiz Ramirez  Alex,Educacion/Mujer y Desarrollo Social/Salud/
215,Asociacion para el Desarrollo Integral Shalom,Lima,Lima,Lima,Gomez Diaz Victoria  ,Educacion/Mujer y Desarrollo Social/Salud/
216,Asociación para el Desarrollo Sostenible del Perú,Lima,Lima,San Isidro,Obregon Ramirez  Celfia Edilberta,Educacion/Mujer y Desarrollo Social/Salud/
217,Asociación Pasitos de Esperanza,Lima,Lima,Independencia,Arenas Alfaro  Katia Roxana,Mujer y Desarrollo Social/Salud/
218,Asociacion Pastoral de Servicios Medico Asistenciales Clínica Adventista Ana Stahl de la Iglesia Adventista del Septimo Día,Loreto,Maynas,Iquitos,Chavez Idrogo  Enzo Ronald,Mujer y Desarrollo Social/Salud/
219,Asociacion Pastoral De Servicios Medico Asistenciales de Juliaca de La Iglesia Adventista del Septimo Día,Puno,San Roman,Juliaca,Chavez Idrogo  Enzo Ronald,Educacion/Mujer y Desarrollo Social/Salud/Otros/
220,Asociacion Pataz,La Libertad,Trujillo,Trujillo,Arias Vargas De Sologuren  Luz Evangelina,Agricultura/Educacion/Mujer y Desarrollo Social/Salud/Trabajo y Promoción Social/Otros/
221,Asociacion Perú Niñez,Lima,Lima,San Juan De Miraflores,Cortez Argandoña  Maria Del Carmen,Educacion/Mujer y Desarrollo Social/Salud/
222,Asociación Perú Yantalo Foundation,Lima,Lima,Miraflores,Vasquez Soplin  Cesar Luis,Mujer y Desarrollo Social/Salud/
,,,,,Samame Beltran  Carlos Manuel,
223,Asociacion Peruana de Ayuda al Necesitado,Lima,Callao,Callao,Carhuayo Jimenez  Ricardo Luis,Educacion/Mujer y Desarrollo Social/
224,Asociacion Peruana ee Ayuda para el Desarrollo Alternativo,Lima,Lima,Breña,Señas Rivera  Rodolfo,Mujer y Poblaciones Vulnerables/
225,Asociacion Peruana de la Hemofilia,Lima,Lima,Lima,Castro Abad  Carmen Emperatriz,Salud/
226,Asociacion Peruana de La Iglesia de Jesucristo de los Santos de los últimos Días,Lima,Lima,La Molina,Lino Diestra  David Diogenes,Educacion/Mujer y Desarrollo Social/Salud/
,,,,,Rebaza Atanacio  Armando,
227,Asociación Peruana de Patologias Oncológicas,Lima,Lima,San Martin De Porres,Grasso Neyra  Carmen Giancarla,Salud/
228,Asociación Peruana de Rehabilitación y Asistencia a la Persona con Discapacidad,Arequipa,Arequipa,Mariano Melgar,Aranda Rejas  Jose Humberto,Cultura/ Mujer y Poblaciones Vulnerables/
229,Asociación Peruana Mujer y Familia,Lima,Callao,Callao,Zevallos Ramirez  Maria Del Rosario,Educación/
,,,,,Vasquez Lopez  Carmen Julia,
230,Asociación Peruana Prodesarrollo Humanitario al Adulto Mayor,Lima,Lima,Jesus Maria,Velasquez De Carrion  Maria Beatriz,Educación/Mujer y Desarrollo Social/Salud/
231,Asociación Peruano Japonesa                                                                                             ,Lima,Lima,Jesus Maria,Kunigami Kunigami  Jorge,Educacion/Mujer y Desarrollo Social/Salud/
232,Asociación por los Niños Especiales y Otros Divino Niño Jesus - Mancora,Piura,Talara,Mancora,Cordova Casimiro  Maria Luz,Educacion/Mujer y Desarrollo Social/Salud/
233,Asociación Presbiteriana Betesda,La Libertad,Trujillo,La Esperanza,Hernandez Cobba  Ricardo Walter,Mujer y Desarrollo Social/
234,Asociación Pro-Ayuda a Caminar,Lima,Lima,Chorrillos,Pinto Ludeña  Jaime,Mujer y Desarrollo Social/
235,Asociación Progreso Crecimiento Emprendimiento y Desarrollo (Procede),Lima,Lima,San Borja,Lastres Ferrucci  Francisco Martin,Mujer y Poblaciones Vulnerables/
236,Asociación Promotora De Apostolado,Lima,Lima,Barranco,Ferreyros Brandon  Alfredo Martin,Educacion/Mujer y Desarrollo Social/Otros/
237,Asociación Promotora San Francisco Solano,Junín,Satipo,Satipo,Bernuy Jaramillo  Wolmar Yovanny,Educación/
238,Asociación Proyectos Perú,Ucayali,Coronel Portillo,Yarinacocha,Espinosa Castro  Eben Ezer,Mujer y Desarrollo Social/
239,Asociación Purisunchik Kuska Llapayanchik Warmakuna,Huancavelica,Huancavelica,Ascencion,De La Cruz Huaylla  Jose Antonio,Educación/Mujer y Desarrollo Social/Salud/
240,Asociación Quimiy,Lima,Lima,San Juan De Lurigancho,Alache Nakamura  Agustin,Educación/Mujer y Desarrollo Social/
241,Asociación Radio María                                                                                                  ,Lima,Lima,Jesus Maria,Alcantara Molina  Guillermo Francisco,Educación/Mujer y Desarrollo Social/Salud/Otros/
,,,,,Mendoza Mendoza  Julia Haydee,
,,,,,Vargas Escudero  Sergio Ricardo,
242,Asociación Red Cívica Solidaria,Lima,Lima,San Juan De Miraflores,Melendez Vicente  Karen Lisbeth,Mujer y Desarrollo Social/
243,Asociación Religiosa Cultural Jesucristo Adonai,Lima,Lima,San Martin De Porres,Pariasca Perez  Naval David,Educación/Salud/
244,Asociación Renacer International,Lima,Lima,San Martin De Porres,Suarez Mendoza  Edward Giancarlo,Educación/Mujer y Desarrollo Social/Salud/
245,Asociación Rumi Perú - Asrup,Lima,Lima,Santiago De Surco,Olivera Orellana  Gerardo Pedro,Educación/
246,Asociación Rumi Pirca,Lima,Lima,Chaclacayo,Zamora Gonzales  Junior Joel,Mujer y Poblaciones Vulnerables/
247,Asociación Runayay,Lima,Lima,Ate,Armero Caycho De Egg  Maria Rosario,Educacion/Mujer y Desarrollo Social/Salud/
248,Asociación San Lucas - Trujillo,La Libertad,Trujillo,Victor Larco Herrera,Aparicio Hernandez  Hernando,Mujer y Poblaciones Vulnerables/Educacion/Vivienda Construcción Y Saneamiento/
249,Asociación Sembrando Para Un Mundo Feliz,Lima,Lima,Chorrillos,Caceres Anaya  Salome Andres,Educación/Salud/Presidencia del Consejo de Ministros/
250,Asociación sin Fines de Lucro Mujeres Solidarias,Piura,Piura,Piura,Querevalu Manihuari  Mariela,Mujer y Poblaciones Vulnerables/Desarrollo e Inclusión Social/
251,Asociación sin Fines de Lucro: Caritas sin Lagrimas - Perú,Lima,Lima,San Martin De Porres,Machuca Meneses  Cesar Raul,Educación/Mujer y Desarrollo Social/Salud/
252,Asociación Sociocultural Santa Cruz de Ccaccasiri - Acoria - Huancavelica,Lima,Lima,El Agustino,Bendezu Ñahui  Maximiliana,Cultura/ Mujer y Poblaciones Vulnerables/
253,Asociacion Solidaria Internacional Retroalimentaria Instituto Luz Provida,Lima,Callao,Ventanilla,Huaman Cespedes  Moises,Educacion/Mujer y Desarrollo Social/
254,Asociación Solidaria Nuestras Voces,Lima,Lima,Lima,Baldeon Remuzgo  Martha Isabel,Educación/
255,Asociación Solidarios                                                                                            ,Lima,Lima,Santiago De Surco,Arana Wimpon De Acevedo  Alicia Maria,Educacion/Mujer y Desarrollo Social/
256,Asociación Sonqo Llaqta - Perú (Corazon de Mi Pueblo),Piura,Piura,Piura,Fossa Nish  Maria Antonieta,Educacion/Mujer y Desarrollo Social/
257,Asociación Sonrisas De Luz,Lima,Lima,Santiago De Surco,Oliveira Oliveira  Rocio Del Pilar,Mujer y Desarrollo Social/
258,Asociación Sonrisas Proyectos Integrales,Lima,Lima,San Juan De Lurigancho,Pautrat Maravi  Yolanda Maira,Educación/
259,Asociación Stella Maris                                                                                                 ,Lima,Lima,San Borja,Lujan Cebrecos  Jubitza Beatriz,Educacion/Mujer y Desarrollo Social/Pcm/
260,Asociación Suzuki del Perú,Lima,Lima,Jesus Maria,Canelo Marcet  Flor De Maria Martina,Educación/
261,Asociación Taller de los Niños,Lima,Lima,Magdalena Del Mar,Ramseyer Denbreaz  Christiane,Educacion/Mujer y Desarrollo Social/Salud/Trabajo y Promoción Social/Otros/
262,Asociación Tarpuna Wiñana,Lima,Lima,San Borja,Ferraro Rey  Carlos Felipe,Educación/Mujer y Desarrollo Social/
263,Asociación Tiempo de Crecer con Dignidad,Lima,Lima,Pueblo Libre,Salvador Rosado  Segundo Manuel,Mujer y Poblaciones Vulnerables/Educación/
264,Asociación Traperia Emaus Oasis del Salvador,Lima,Lima,Villa Maria Del Triunfo,Levano Rondoy  Javier Efrain,Mujer y Desarrollo Social/
265,Asociación Traperos de Emaus San Agustín,Lima,Lima,Chorrillos,Suarez Delgado  Juan Williams,Mujer y Desarrollo Social/
266,Asociación Traperos de San Pablo,Lima,Lima,Chorrillos,Ramos Cordova  Maria Graciela,Mujer y Desarrollo Social/
267,Asociación Trinity Hope,Lima,Lima,Los Olivos,Alpiste Velasquez  Maria Magdalena,Mujer y Desarrollo Social/
268,Asociación Unamonos,Arequipa,Arequipa,Arequipa,Muñoz Najar Friedrich  Pedro Alberto Carlos,Mujer y Poblaciones Vulnerables/
269,Asociación Unión Misión Perú - AUMP,Lima,Lima,Puente Piedra,Hwan Park  Young,Educacion/Mujer y Desarrollo Social/
270,Asociación Valverde Guillian,Lima,Lima,Pueblo Libre,Valverde Guillian  Marco Antonio,Educacion/Mujer y Desarrollo Social/Salud/Otros/
271,Asociación Vida Perú                                                                                             ,Lima,Lima,San Isidro,Baca Olazabal  Olga Matilde,Educacion/Salud/Pcm/
272,Asociación Vida Inclusión y Desarrollo,Lima,Lima,Lima,Leon Cabrera  Jorge Humberto,Educacion/Mujer y Desarrollo Social/Salud/Otros/
273,Asociación Virgen de Loreto,Lima,Lima,Santiago De Surco,Avalos Noblecilla  Patricia Julia,Mujer y Desarrollo Social/Salud/
274,Asociación Vision To All,Lima,Lima,Pueblo Libre,Gargurevich Godoy  Maria Teresa Del Carmen,Mujer y Poblaciones Vulnerables/
275,Association For Christian Learning-Perú,Cusco,Cusco,Wanchaq,Hobby  Steven John,Mujer y Poblaciones Vulnerables/Educación/ Salud/
276,Ayne Perú Trinitarias Solidaridad y Desarrollo,Lima,Lima,Puente Piedra,Alcazar Muñoz  Maria,Educacion/Salud/Trabajo y Promocion Social/
,,,,,Balarezo Flores  Doris Esperanza,
277,Ayuda Solidaria Educativa para el Fomento Del Empleo,Lima,Callao,Ventanilla,Cordova Fernandez  Raul,Cultura/ Mujer Y Poblaciones Vulnerables/
278,Ayudando a Vivir Mejor,Lima,Lima,San Borja,Rizo Patron Pasara  Jose Ignacio,Educacion/Mujer y Desarrollo Social/Salud/
279,Banco de Alimentos Perú,Lima,Lima,Miraflores,Guzman Zapata  Marita Del Socorro,Mujer y Poblaciones Vulnerables/Salud/
280,Bienestar Global,Puno,Puno,Puno,Mamani Tito  Henri Ore,Educación/Mujer y Desarrollo Social/Salud/
281,Buckner Orphan Care Perú ,Lima,Lima,Miraflores,Leon Vergara  Claudia Maria,Mujer y Desarrollo Social/
282,Care Perú,Lima,Lima,Jesus Maria,Stanojevich Destefano  Milovan,Educacion/Mujer y Desarrollo Social/Salud/
,,,,,Temple Arciniega  Ana Ines,
,,,,,Asca Cordano  Rosa Mercedes,
283,Caritas Chuquibamba Camana,Arequipa,Camana,Samuel Pastor,Saavedra Ramirez  Percy Fernando,Mujer y Desarrollo Social/
,,,,,Busquets Jorda  Mario,
284,Caritas del Perú                                                                                                        ,Lima,Callao,Callao,Serpa Carlos  Fanny Patricia,Mujer y Desarrollo Social/
,,,,,Mendoza Medina  Ramiro Benjamin,
285,Caritas Diocesana de Arequipa,Arequipa,Arequipa,Arequipa,Arriaga Pacheco  Cesar,Mujer y Desarrollo Social/
286,Caritas Diocesana de Iquitos,Loreto,Maynas,Iquitos,Olaortua Laspra  Miguel,Educacion/Salud/PCM/ Otros/
287,Caritas Huánuco,Huánuco,Huanuco,Huanuco,Rodriguez Salazar  Jaime,Mujer y Poblaciones Vulnerables/
288,Catedral de Fe Centro de Avivamiento,Lima,Lima,Lima,Ramos Medina  Arturo,Educacion/Mujer y Desarrollo Social/
289,Ce.Svi.Te.M. - Centro Sviluppo Terzo Mondo,La Libertad,Trujillo,Trujillo,Attilio  Sante Salviato,Educación/
290,Centro Alternativo para el Desarrollo Social,Lima,Huaura,Huacho,Urbano Franco  Victor Andres,Mujer y Poblaciones Vulnerables/Comercio Exterior y Turismo/Trabajo y Promoción del Empleo/
291,Centro Ann Sullivan del Perú,Lima,Lima,San Miguel,Mayo Ortega  Yolanda Liliana,Educación/
292,Centro Cerrito Azul del Perú - CECAP,Lima,Lima,San Juan De Miraflores,Sandoval Guerrero  Yris Mariela,Mujer y Desarrollo Social/
293,Centro Comunitario Oftalmológico Maranata,La Libertad,Trujillo,Trujillo,Kuroda De Burga  Kyooko,Educacion/Salud/
294,Centro Comunitario Oftalmológico Respice,Lima,Lima,Miraflores,Perez Martinot  Manuel Raul,Salud/
295,Centro Cultural Perú - Sican,Loreto,Maynas,Iquitos,Ugaz Aguinaga  Dolliveth Lucero,Educacion/Mujer y Desarrollo Social/ Cultura/
296,Centro de Apoyo al Desarrollo Agro-Socio-Económico,La Libertad,Trujillo,Trujillo,Cosavalente Moza  Francisco Neri,Mujer y Desarrollo Social/PCM/
297,Centro de Apoyo Armonización Salud y Cultura Splendor Casa Hogar para la Tercera Edad,Lima,Lima,Los Olivos,Castillo Herrera  Jose Luis,Educacion/Salud/
298,Centro de Atención Residencial Mahanaim,Lima,Lima,Cieneguilla,Carbajal Cartolin De Romero  Carmen Zoila,Mujer y Poblaciones Vulnerables/Educacion/ Salud/
299,Centro de Capacitacion Investigación y Desarrollo Yanapacuy,Arequipa,Arequipa,Arequipa,Apaza Mamani  Javier Alfredo,Mujer y Poblaciones Vulnerables/
300,Centro de Capacitacion y Desarrollo Social Peruano,Lima,Lima,Carabayllo,Pereyra Peña  Fortunato,Agricultura/Mujer y Desarrollo Social/Salud/
301,Centro de Desarrollo Abundia Perú,Junín,Huancayo,Huancayo,Tazza Matta  Rosana Rebeca,Mujer y Poblaciones Vulnerables/Trabajo y Promoción del Empleo/
302,Centro de Desarrollo y Responsabilidad Social para Mitigar la Pobreza - Perú,Lima,Lima,San Borja,La Rosa Yabar  Jose Antonio,Agricultura/Educacion/Mujer y Desarrollo Social/Salud/
303,Centro de Estudios para la Edificación con Tierra y el Desarrollo Sostenible ,Lima,Lima,Santiago De Surco,De Olarte Tristan  Jorge Luis,Agricultura/Educacion/Salud/Vivienda y Construcción/
304,Centro de Estudios para la Prevención y Corrección de Enfermedades Abdominales,Piura,Piura,Piura,Dedios La Madrid  Carlos Edmundo,Mujer y Desarrollo Social/Salud/
305,Centro de Formación y Desarrollo de la Familia,La Libertad,Trujillo,El Porvenir,Chavez Moya  Carlos Manuel,Mujer y Poblaciones Vulnerables/Educacion/
306,Centro de Información y Educación para la Prevención del Abuso de Drogas,Lima,Lima,Miraflores,Vassilaqui Castrillon  Alejandro,Educacion/Mujer y Desarrollo Social/
307,Centro de Prevención de Ceguera - Cusco,Cusco,Cusco,San Sebastian,Silva Guevara  Frilo,Mujer y Desarrollo Social/Salud/
308,Centro de Prevención del Cáncer y Ostomizados del Sur,Arequipa,Arequipa,Socabaya,Solis Zapana  Federico Jaime,Mujer y Poblaciones Vulnerables/Salud/
309,Centro de Promoción de Educación y Desarrollo Sociedad e Identidad,Lambayeque,Chiclayo,Monsefu,Arroyo Chafloque  Patricia Katherina,Educacion/Mujer y Desarrollo Social/Salud/Otros/
310,Centro de Promoción de la Equidad María Elena Moyano,Lima,Lima,Surquillo,Ramirez Salas  Madeleine,Mujer y Desarrollo Social/
311,Centro de Promoción del Desarrollo Humano de la Región Piura,Piura,Piura,Piura,Masias Cisneros  Juan,Agricultura/Economía y Finanzas/Educación/Mujer y Desarrollo Social/Salud/Transportes/ PCM/
312,Centro de Promoción Social de la Iglesia,Lima,Lima,San Miguel,Ramis Torrens  Sebastian,Mujer y Desarrollo Social/
313,Centro de Promoción Integración y Desarrollo Rural Urbano de Ayacucho,Ayacucho,Huamanga,Ayacucho,Castro Remon  Jorge Beltran,Educacion/Trabajo Y Promocion Social/
314,Centro de Rehabilitacion de Ciegos de Lima,Lima,Lima,Santiago De Surco,Zegarra Morales  Adela Cecilia,Educación/
315,Centro Educativo No Estatal Especial para Sordos Efata,Lima,Lima,Villa El Salvador,Frank Kotvas  Joseph,Educación/
316,Centro Luz de Almas,Lima,Lima,San Miguel,Morales Ruiz  Gloria Angelica,Educacion/Mujer y Desarrollo Social/Salud/
317,Centro Matriz de Superación - CMAS,Lima,Lima,San Miguel,Contreras Salazar  Maria Luisa,Educacion/Mujer y Desarrollo Social/
318,Centro Nacional del Voluntariado,Lima,Lima,San Isidro,Bravo Castillo  Oscar,Educacion/Salud/PCM/
319,Centro para el Desarrollo de la  Agricultura y la Salud en el Perú - CEDAS Perú,Lima,Lima,Pueblo Libre,Delgado Medina  Anyeli Felicitas,Mujer y Desarrollo Social/Salud/
320,Centro Pastoral San Vicente de Paul,Piura,Piura,Veintiseis De Octubre,Rumiche Morales  Laura,Mujer y Poblaciones Vulnerables/
321,Centro Peruano de Audición Lenguaje y Aprendizaje,Lima,Lima,Santiago De Surco,Fort Brescia De Mulder  Sylvia Maria Isabel,Salud/
,,,,,Matzumura Kasano  Maria Erlinda,
322,Cervi-Cusco,Cusco,Cusco,San Jeronimo,Venero Salas  Sami Emperatriz,Salud/
323,Circulos Sociales Catolicos-Movimiento De Accion Social,Arequipa,Arequipa,Paucarpata,Medina Bravo  Alicia Paula,Educacion/Mujer y Desarrollo Social/Salud/
324,Club de Leones de Arequipa,Arequipa,Arequipa,Arequipa,De Alarcon De La Torre  Rosa Victoria,Educación/
325,Club de Leones de Bellavista San José,Lima,Callao,Bellavista,Zumaeta Beffigo  Maria Consuelo,Mujer y Poblaciones Vulnerables/
326,Club de Leones de Cusco,Cusco,Cusco,Cusco,Vargas Pacheco  Joaquin,Educación/Mujer y Desarrollo Social/Salud/Otros/
327,Club de Leones de Iquitos                                                                                               ,Loreto,Maynas,Iquitos,Davila Valdivia  Rodolfo,Mujer y Desarrollo Social/
328,Club de Leones Javier Prado,Lima,Lima,San Luis,Castillo Arrasco De Mejia  Elva Rosa,Mujer y Desarrollo Social/Salud/
,,,,,Suclla Flores  Oscar Manuel,
329,Club de Leones La Recoleta,Lima,Lima,Santiago De Surco,Obando Mamani  Adela Eudocia,Educacion/Mujer y Desarrollo Social/Salud/
330,Club Deportivo Thag,Lima,Lima,El Agustino,Torres Inca  Carlos Raul,Cultura/
331,Colegio de La Inmaculada (Jesuitas)                                                                                     ,Lima,Lima,Santiago De Surco,Garaycochea Amat Y Leon  Jose Carlos,Educación/
332,Comisión Prelatural de Pastoral Social de Huamachuco,La Libertad,Sanchez Carrion,Huamachuco,Alvarado Rodriguez  Francisco Javier,Mujer y Desarrollo Social/
333,Compañia de Jesús - Comunidad de La Inmaculada,Lima,Lima,Santiago De Surco,Dolan Behler  Robert Louis,Otros/
334,Compañia de Jesús - Provincia del Perú,Lima,Lima,Jesus Maria,Diaz Gonzalez  Diego,Educacion/Mujer y Desarrollo Social/
335,Compañia de María (Marianistas),Lima,Lima,Pueblo Libre,Melcher Jukes  Philip Kent,Educación/
336,Comunidad Cristiana Cuerpo de Cristo                                                                                  ,Lima,Lima,Lima,Martin Goicochea  Valeriano,Educación/Mujer Y Desarrollo Social/
337,Comunidad Cristiana Rios de Milagros,Lima,Lima,Santa Anita,Hilario Pallarco  Julia Maxima,Desarrollo e Inclusión Social/Educación/
338,Comunidad Cristiana Cristo Vive,Lima,Callao,Bellavista,Lindembert Massironi  Maximo Elias,Otros/
339,Comunidad Cristiana del Espiritu Santo                                                                                  ,Lima,Lima,Breña,Sergio Perez  Jose Alberto,Mujer y Desarrollo Social/
340,Comunidad Cristiana Familiar Amor Eterno,Lima,Lima,Ate,Luiz Casavechi  Fernando,Educacion/Mujer y Desarrollo Social/Salud/Otros/
341,Comunidad Cristiana Restauracion,Lima,Callao,Carmen De La Legua Reynoso,Huarancca Vereau  Eccar Felix,Mujer y Poblaciones Vulnerables/
342,Comunidad Evangelica Cristo Rompe Las Cadenas,La Libertad,Trujillo,El Porvenir,Ponciano Andrade  Santiago Wilmer,Mujer y Poblaciones Vulnerables/Desarrollo e Inclusión Social/
343,Comunidad Jhire International,Lima,Lima,San Juan De Lurigancho,Tanta Huaccan  Bertha,Educación/Mujer y Desarrollo Social/Salud/
344,Comunidad Terapeutica Jesus Roca Que Salva,Lima,Lima,Villa El Salvador,Perez Gonzales  Karol Sarita Haydee,Mujer y Desarrollo Social/
345,Comunidad Traperos Aguilas Emaus,Piura,Piura,Piura,Leon Crisanto  Nestor Teodoro,Educación/Trabajo y Promoción Social/
346,Comunidad Traperos de Emaus - Trujillo,La Libertad,Trujillo,La Esperanza,Arellano Timana  Cesar Augusto,Educación/Mujer y Desarrollo Social/
347,Concejo Peruano de Profesionales para el Desarrollo en Salud y Educación,Lima,Lima,San Juan De Lurigancho,Carranza Garay  Karim Jhanek,Cultura/ Mujer y Poblaciones Vulnerables/Educación/
348,Congregacion  de Las Hermanas de La Misericordia de San Vicente de Paul,Ancash,Santa,Moro,Frick Gstoehl  Norma,Educación/Mujer y Desarrollo Social/Salud/PCM/
349,Congregacion Apostolicas del Corazon de Jesús,Lima,Lima,Breña,Cuba Manrique  Rosa Isabel,Educación/Mujer y Desarrollo Social/Otros/
350,Congregacion de Hermanas Mercedarias de La Caridad Provincia Jesucristo Redentor,Lima,Lima,La Molina,Mendoza Najar  Elsa Melita,Educacion/Salud/
351,Congregacion de Hermanitas de Los Ancianos Desamparados,Lima,Lima,Breña,Vinuesa Yebenes  Juliana,Educación/
352,Congregacion de Hijas de la Sabiduria,Lima,Lima,Jesus Maria,Mateus Camargo  Maria Isabel,Educacion/Mujer y Desarrollo Social/
353,Congregacion de la Misión (Padres Lazaristas O Paules O Vicentinos) en el Perú                                          ,Lima,Lima,Miraflores,Guillen Goñi  Pedro Javier,Mujer y Desarrollo Social/
,,,,,Garcia Matta  Jesus Gilberto,
354,Congregación de Las Hermanas del Buen Socorro en el Perú,La Libertad,Trujillo,La Esperanza,Pajuelo Ureña  Rosalinda,Educacion/Mujer Y Desarrollo Social/
